Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"15,947.31","16,108.39","16,626.30",VCB,2023-12-20 04:17:26
CAD,CANADIAN DOLLAR     ,"17,729.68","17,908.77","18,484.56",VCB,2023-12-20 04:17:26
CHF,SWISS FRANC         ,"27,406.56","27,683.40","28,573.46",VCB,2023-12-20 04:17:26
CNY,YUAN RENMINBI       ,"3,337.48","3,371.20","3,480.11",VCB,2023-12-20 04:17:26
DKK,DANISH KRONE        ,-,"3,505.45","3,639.93",VCB,2023-12-20 04:17:26
EUR,EURO                ,"25,936.02","26,198.00","27,359.99",VCB,2023-12-20 04:17:26
GBP,POUND STERLING      ,"30,080.00","30,383.83","31,360.72",VCB,2023-12-20 04:17:26
HKD,HONGKONG DOLLAR     ,"3,042.25","3,072.97","3,171.78",VCB,2023-12-20 04:17:26
INR,INDIAN RUPEE        ,-,291.86,303.55,VCB,2023-12-20 04:17:26
JPY,YEN                 ,163.99,165.65,173.60,VCB,2023-12-20 04:17:26
KRW,KOREAN WON          ,16.08,17.87,19.49,VCB,2023-12-20 04:17:26
KWD,KUWAITI DINAR       ,-,"78,870.85","82,029.58",VCB,2023-12-20 04:17:26
MYR,MALAYSIAN RINGGIT   ,-,"5,143.99","5,256.54",VCB,2023-12-20 04:17:26
NOK,NORWEGIAN KRONER    ,-,"2,298.10","2,395.83",VCB,2023-12-20 04:17:26
RUB,RUSSIAN RUBLE       ,-,257.55,285.13,VCB,2023-12-20 04:17:26
SAR,SAUDI RIAL          ,-,"6,471.65","6,730.83",VCB,2023-12-20 04:17:26
SEK,SWEDISH KRONA       ,-,"2,336.65","2,436.02",VCB,2023-12-20 04:17:26
SGD,SINGAPORE DOLLAR    ,"17,814.88","17,994.83","18,573.39",VCB,2023-12-20 04:17:26
THB,THAILAND BAHT       ,614.97,683.30,709.51,VCB,2023-12-20 04:17:26
USD,US DOLLAR           ,"24,145.00","24,175.00","24,515.00",VCB,2023-12-20 04:17:26
