AUD,AUSTRALIAN DOLLAR   ,15,552.04,15,709.14,16,214.29
CAD,CANADIAN DOLLAR     ,17,422.70,17,598.69,18,164.61
CHF,SWISS FRANC         ,27,001.41,27,274.15,28,151.20
CNY,YUAN RENMINBI       ,3,320.09,3,353.63,3,461.99
DKK,DANISH KRONE        ,-,3,442.71,3,574.80
EUR,EURO                ,25,474.81,25,732.13,26,873.60
GBP,POUND STERLING      ,29,775.38,30,076.14,31,043.30
HKD,HONGKONG DOLLAR     ,3,028.36,3,058.95,3,157.31
INR,INDIAN RUPEE        ,-,290.39,302.02
JPY,YEN                 ,160.24,161.86,169.63
KRW,KOREAN WON          ,15.96,17.73,19.34
KWD,KUWAITI DINAR       ,-,78,382.27,81,521.88
MYR,MALAYSIAN RINGGIT   ,-,5,144.65,5,257.24
NOK,NORWEGIAN KRONER    ,-,2,170.58,2,262.90
RUB,RUSSIAN RUBLE       ,-,248.70,275.33
SAR,SAUDI RIAL          ,-,6,451.57,6,709.99
SEK,SWEDISH KRONA       ,-,2,265.02,2,361.36
SGD,SINGAPORE DOLLAR    ,17,633.16,17,811.27,18,384.03
THB,THAILAND BAHT       ,610.67,678.53,704.56
USD,US DOLLAR           ,24,065.00,24,095.00,24,435.00
