Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"16,021.76","16,183.60","16,703.92",VCB,2023-12-20 08:48:31
CAD,CANADIAN DOLLAR     ,"17,787.83","17,967.50","18,545.17",VCB,2023-12-20 08:48:31
CHF,SWISS FRANC         ,"27,577.85","27,856.41","28,752.02",VCB,2023-12-20 08:48:31
CNY,YUAN RENMINBI       ,"3,345.38","3,379.17","3,488.34",VCB,2023-12-20 08:48:31
DKK,DANISH KRONE        ,-,"3,517.26","3,652.20",VCB,2023-12-20 08:48:31
EUR,EURO                ,"26,029.14","26,292.06","27,458.21",VCB,2023-12-20 08:48:31
GBP,POUND STERLING      ,"30,176.34","30,481.15","31,461.15",VCB,2023-12-20 08:48:31
HKD,HONGKONG DOLLAR     ,"3,042.68","3,073.41","3,172.22",VCB,2023-12-20 08:48:31
INR,INDIAN RUPEE        ,-,292.16,303.86,VCB,2023-12-20 08:48:31
JPY,YEN                 ,164.39,166.05,174.02,VCB,2023-12-20 08:48:31
KRW,KOREAN WON          ,16.19,17.98,19.62,VCB,2023-12-20 08:48:31
KWD,KUWAITI DINAR       ,-,"78,964.02","82,126.46",VCB,2023-12-20 08:48:31
MYR,MALAYSIAN RINGGIT   ,-,"5,172.67","5,285.84",VCB,2023-12-20 08:48:31
NOK,NORWEGIAN KRONER    ,-,"2,321.43","2,420.16",VCB,2023-12-20 08:48:31
RUB,RUSSIAN RUBLE       ,-,256.12,283.55,VCB,2023-12-20 08:48:31
SAR,SAUDI RIAL          ,-,"6,473.15","6,732.39",VCB,2023-12-20 08:48:31
SEK,SWEDISH KRONA       ,-,"2,346.53","2,446.32",VCB,2023-12-20 08:48:31
SGD,SINGAPORE DOLLAR    ,"17,857.43","18,037.81","18,617.74",VCB,2023-12-20 08:48:31
THB,THAILAND BAHT       ,617.03,685.59,711.90,VCB,2023-12-20 08:48:31
USD,US DOLLAR           ,"24,150.00","24,180.00","24,520.00",VCB,2023-12-20 08:48:31
