AUD,AUSTRALIAN DOLLAR   ,15,616.73,15,774.48,16,281.73
CAD,CANADIAN DOLLAR     ,17,449.44,17,625.69,18,192.47
CHF,SWISS FRANC         ,27,109.12,27,382.95,28,263.49
CNY,YUAN RENMINBI       ,3,326.26,3,359.86,3,468.43
DKK,DANISH KRONE        ,-,3,463.09,3,595.97
EUR,EURO                ,25,624.31,25,883.14,27,031.30
GBP,POUND STERLING      ,29,869.02,30,170.72,31,140.91
HKD,HONGKONG DOLLAR     ,3,026.15,3,056.72,3,155.01
INR,INDIAN RUPEE        ,-,290.18,301.81
JPY,YEN                 ,160.23,161.85,169.62
KRW,KOREAN WON          ,16.00,17.78,19.39
KWD,KUWAITI DINAR       ,-,78,347.67,81,485.87
MYR,MALAYSIAN RINGGIT   ,-,5,149.02,5,261.71
NOK,NORWEGIAN KRONER    ,-,2,192.33,2,285.58
RUB,RUSSIAN RUBLE       ,-,252.42,279.45
SAR,SAUDI RIAL          ,-,6,451.69,6,710.12
SEK,SWEDISH KRONA       ,-,2,279.96,2,376.93
SGD,SINGAPORE DOLLAR    ,17,678.98,17,857.56,18,431.79
THB,THAILAND BAHT       ,607.86,675.40,701.31
USD,US DOLLAR           ,24,070.00,24,100.00,24,440.00
